TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
C-071,CITY-PARISH,GUS YOUNG AVE,46TH ST,SIGNAL,YES,POINT (-91.143659329744 30.462121455789)
C-040,CITY-PARISH,COURSEY BLVD,STUMBERG LN,SIGNAL,NO,POINT (-91.036001067974 30.410171170208)
C-020,CITY-PARISH,CHOCTAW DR,SHERWOOD FOREST BLVD,SIGNAL,NO,POINT (-91.058067476439 30.472429263909)
C-022,CITY-PARISH,CHOCTAW DR,WOODDALE BLVD,SIGNAL,NO,POINT (-91.11589191631 30.470911331992)
C-012,CITY-PARISH,ARDENWOOD DR,HARRY DR,SIGNAL,NO,POINT (-91.127585787926 30.456794220595)
C-025,CITY-PARISH,COLLEGE DR,CONCORD AVE,SIGNAL,YES,POINT (-91.141854708824 30.418530694565)
C-056,CITY-PARISH,FOSTER DR,WINBOURNE AVE,SIGNAL,YES,POINT (-91.140633043261 30.47888001718)
C-060,CITY-PARISH,GLEN OAKS AVE,SILVERLEAF AVE,SIGNAL,YES,POINT (-91.125279454908 30.510327133806)
C-029,CITY-PARISH,COLLEGE DR,WOODSIDE DR,SIGNAL,YES,POINT (-91.135256779791 30.430940478708)
C-016,CITY-PARISH,CHOCTAW DR,38TH ST,SIGNAL,NO,POINT (-91.152463357641 30.470275134188)
C-050,CITY-PARISH,GOODWOOD BLVD,FLANNERY RD,SIGNAL,YES,POINT (-91.034969174855 30.4485967158)
C-045,CITY-PARISH,EUGENE ST,BROUSSARD ST,SIGNAL,NO,POINT (-91.159658863087 30.435942486952)
C-030,CITY-PARISH,CONVENTION ST,4TH ST,SIGNAL,YES,POINT (-91.187043253221 30.448287334854)
C-067,CITY-PARISH,GOVERNMENT ST,ARDENWOOD AVE,SIGNAL,YES,POINT (-91.127201725346 30.44482651744)
C-003,CITY-PARISH,ACADIAN THWY,GUS YOUNG AVE,SIGNAL,NO,POINT (-91.155794316548 30.462545248711)
C-052,CITY-PARISH,FOSTER DR,EVANGELINE ST,SIGNAL,NO,POINT (-91.140627849816 30.493197725424)
C-008,CITY-PARISH,ACADIAN THWY,MOHICAN ST,SIGNAL,NO,POINT (-91.156728385169 30.484464402098)
C-068,CITY-PARISH,GOVERNMENT ST,LOBDELL AVE / INDEPENDENCE BLVD,SIGNAL,NO,POINT (-91.111645920378 30.445294978085)
C-019,CITY-PARISH,CHOCTAW DR,MONTERREY BLVD,SIGNAL,NO,POINT (-91.084770297595 30.471721156428)
C-036,CITY-PARISH,CONVENTION ST,3RD ST,SIGNAL,YES,POINT (-91.188229261651 30.448245973063)
C-039,CITY-PARISH,COURSEY BLVD,JONES CREEK RD,SIGNAL,NO,POINT (-91.01605926411 30.408534715007)
C-059,CITY-PARISH,SCENIC HWY,FUQUA ST,SIGNAL,NO,POINT (-91.167431972539 30.457359626051)
C-054,CITY-PARISH,FOSTER DR,HOLLYWOOD ST,SIGNAL,NO,POINT (-91.141105053898 30.499668818958)
C-031,CITY-PARISH,CONVENTION ST,5TH ST,SIGNAL,YES,POINT (-91.185806893137 30.448331808779)
